ST30-001|Luffy & Ace|Leader|Green Red|-|6000|0|4|Special Strike|L|Straw Hat Crew Whitebeard Pirates Impel Down|If you have a Character with 7000 base power or more, give this Leader -2000 power. [Opponent's Turn] All of your [Portgas.D.Ace] and [Monkey.D.Luffy] cards gain +3000 power.
ST30-012|Monkey.D.Luffy|Character|Green|4|6000|0|-|Strike|SR|Straw Hat Crew Impel Down|[On Play] You may rest 1 of your DON!! cards: This Character gains [Rush] during this turn. (This card can attack on the turn in which it is played.) [When Attacking] Rest up to 1 of your opponent's [Blocker] Characters.
ST30-014|Mr.3(Galdino)|Character|Green|2|3000|2000|-|Special|C|Impel Down Former Baroque Works|[Activate: Main] You may rest this Character: Give up to 2 of your Characters with 6000 base power up to 2 rested DON!! cards each.
ST30-007|Portgas.D.Ace|Character|Red|4|6000|0|-|Special|SR|Whitebeard Pirates|[On Play] You may rest 1 of your DON!! cards: This Character gains [Rush] during this turn. (This card can attack on the turn in which it is played.) [When Attacking] Give up to 1 of your opponent's Characters -1000 power during this turn.
ST30-010|Crocodile|Character|Green|6|6000|1000|-|Special|C|Impel Down Former Baroque Works|[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On Play] Up to 1 of your opponent's rested Characters will not become active in your opponent's next Refresh Phase.
ST30-011|Buggy|Character|Green|2|1000|1000|-|Slash|C|Buggy Pirates Impel Down|If your Character with 6000 base power would be removed from the field by your opponent's effect, you may rest this Character instead. [Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)
ST30-002|Inazuma|Character|Red|1|2000|1000|-|Slash|C|Revolutionary Army Impel Down|[On Play] Look at 5 cards from the top of your deck; reveal up to 1 Character card with 6000 power and add it to your hand. Then, place the rest at the bottom of your deck in any order.
ST30-004|Emporio.Ivankov|Character|Red|1|2000|1000|-|Special|C|Revolutionary Army Impel Down|[On Play] You may reveal 2 Character cards with 6000 power from your hand: Draw 3 cards and trash 2 cards from your hand.
ST30-016|Can You Still Fight, Luffy?! Of Course!!|Event|Red|1|-|0|-|-|C|Straw Hat Crew Whitebeard Pirates|[Counter] Up to 1 of your Leader or Character cards gains +3000 power during this battle. Then, if you have [Portgas.D.Ace] and [Monkey.D.Luffy] Characters with 6000 base power, draw 1 card.
ST30-005|Jozu|Character|Red|5|6000|2000|-|Strike|C|Whitebeard Pirates|-
ST30-003|Edward.Newgate|Character|Red|8|6000|1000|-|Special|C|The Four Emperors Whitebeard Pirates|[Your Turn] All of your Characters with 6000 base power gain +1000 power.
ST30-008|Marco|Character|Red|5|6000|1000|-|Special|C|Whitebeard Pirates|[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On K.O.] You may trash 1 Character card with 6000 power from your hand: Play this Character card from your trash rested.
ST30-006|Jinbe|Character|Red|5|6000|1000|-|Strike|C|Fish-Man The Sun Pirates Impel Down|[On Play] You may trash 1 Character card with 6000 power from your hand: Draw 2 cards.
ST30-009|LittleOars Jr.|Character|Red|1|2000|1000|-|Strike|C|Giant Whitebeard Pirates|If your Character with 6000 base power would be removed from the field by your opponent's effect, you may trash this Character and draw 1 card instead.
ST30-013|Mr.2.Bon.Kurei(Bentham)|Character|Green|4|6000|1000|-|Strike|C|Impel Down Former Baroque Works|-
ST30-015|The Name of This Era Is "Whitebeard"!!|Event|Red|1|-|0|-|-|C|Whitebeard Pirates|[Counter] If you have 2 or more Characters with 6000 base power, up to 1 of your Leader or Character cards gains +4000 power during this battle. [Trigger] K.O. up to 1 of your opponent's Characters with 6000 power or less.
ST30-017|And You Get Yourself in Big Trouble!!|Event|Red|1|-|0|-|-|C|Whitebeard Pirates|[Main] Look at 5 cards from the top of your deck; reveal up to 1 Character card with 6000 power and add it to your hand. Then, place the rest at the bottom of your deck in any order. [Trigger] Activate this card's [Main] effect.
